time,surface_partial_pressure_of_carbon_dioxide_in_sea_water
2015-12-29 05:57:00,388.7551607862
2015-12-29 06:57:00,390.2035837651
2015-12-29 07:57:00,392.7208480686
2015-12-29 08:57:00,388.0422603627
2015-12-29 08:58:00,388.0330310881
2015-12-29 09:57:00,392.6683218192
2015-12-29 10:57:00,391.7257963922
2015-12-29 11:57:00,392.2049167969
2015-12-29 12:57:00,392.4033671903
2015-12-29 13:57:00,392.2769793294
2015-12-29 14:57:00,390.5319722017
2015-12-29 15:57:00,389.6029278724
2015-12-29 16:57:00,390.3767648107
2015-12-29 17:57:00,389.7100604491
2015-12-29 18:57:00,389.9827562574
2015-12-29 19:57:00,386.5597054308
2015-12-29 20:57:00,378.2797850358
2015-12-29 20:58:00,378.5119664446
2015-12-29 21:57:00,384.1361440086
2015-12-29 22:57:00,384.6544706253
2015-12-29 23:57:00,387.3712270746
